year,position,constructorName,points,wins
2022,1,Red Bull,759,17
2022,2,Ferrari,554,4
2022,3,Mercedes,515,1
2022,4,Alpine F1 Team,173,0
2022,5,McLaren,159,0
2022,6,Alfa Romeo,55,0
2022,7,Aston Martin,55,0
2022,8,Haas F1 Team,37,0
2022,9,AlphaTauri,35,0
2022,10,Williams,8,0
2023,1,Red Bull,860,21
2023,2,Mercedes,409,0
2023,3,Ferrari,406,1
2023,4,McLaren,302,0
2023,5,Aston Martin,280,0
2023,6,Alpine F1 Team,120,0
2023,7,Williams,28,0
2023,8,AlphaTauri,25,0
2023,9,Alfa Romeo,16,0
2023,10,Haas F1 Team,12,0
2024,1,McLaren,666,6
2024,2,Ferrari,652,5
2024,3,Red Bull,589,9
2024,4,Mercedes,468,4
2024,5,Aston Martin,94,0
2024,6,Alpine F1 Team,65,0
2024,7,Haas F1 Team,58,0
2024,8,RB F1 Team,46,0
2024,9,Williams,17,0
2024,10,Sauber,4,0
